uid,duration
1,0:20:38
2,0:27:34
3,0:17:39
4,0:20:08
5,0:15:34
6,0:26:10
7,0:06:42
8,0:15:17
9,0:35:01
10,0:22:05
11,0:10:03
12,0:16:03
13,0:19:27
14,0:18:08
15,0:14:01
16,0:05:11
17,0:09:47
18,0:15:54
19,0:20:24
20,0:14:58
21,0:15:04
22,0:22:07
23,0:09:19
24,0:11:19
25,0:10:05
26,0:14:53
27,0:09:54
28,0:15:45
29,0:08:47
30,0:20:12
31,0:23:29
32,0:06:09
33,0:12:32
34,0:27:46
35,0:09:28
36,0:13:00
37,0:15:06
38,0:13:04
39,0:11:19
40,0:09:27
41,0:13:07
42,0:14:06
43,0:06:47
44,0:14:20
45,0:13:11
46,0:21:21
47,0:25:35
48,0:12:59
49,0:19:23
50,0:14:52
51,0:12:44
52,0:12:29
53,0:20:04
54,0:12:29
55,0:02:59
56,0:17:09
57,0:08:51
58,0:10:35
59,0:24:56
60,0:14:09
61,0:11:06
62,0:07:12
63,0:09:10
64,0:14:51
65,0:06:03
66,0:18:01
67,0:29:19
68,0:15:33
69,0:15:50
70,0:11:56
71,0:11:15
72,0:42:47
73,0:10:16
74,0:19:47
75,0:28:10
76,0:10:28
77,0:08:22
78,0:12:30
79,0:11:26
80,0:14:38
81,0:16:11
82,0:13:35
83,0:12:45
84,0:14:06
85,0:16:19
86,0:21:08
87,0:15:37
88,0:14:25
89,0:13:57
90,0:06:31
91,0:13:58
92,0:18:08
93,0:13:53
94,0:07:40
95,0:14:46
96,0:18:28
97,0:08:36
98,0:09:38
99,0:10:30
100,0:11:00
101,0:12:30
102,0:10:33
103,0:13:15
104,0:17:48
105,0:12:53
106,0:08:23
107,0:07:29
108,0:14:58
109,0:18:18
110,0:15:55
111,0:26:01
112,0:23:10
113,0:09:09
114,0:20:52
115,0:12:11
116,0:03:41
