study_id,wrd_cnt_phys,wrd_cnt_prox,uttr_cnt_phys,uttr_cnt_prox,nlm_spec_cnt,voa_cnt,nlm_minus_voa_cnt,fk_score,gf_score,mean_wrds_uttr_phys,median_wrds_uttr_phys,mean_wrds_uttr_prox,median_wrds_uttr_prox,pattern_sent,wwbp_to_past,wwbp_to_present,wwbp_to_future,pron_i_cnt,pron_my_cnt,pron_you_cnt,pron_your_cnt,pron_she_cnt,pron_her_cnt,pron_hers_cnt,pron_he_cnt,pron_his_cnt,phys_verb_cnt,phys_noun_cnt,phys_adjective_cnt,phys_adverb_cnt
105,3157,174,23,23,2370,1657,716,2.3624793388429772,5.219326128417038,137.2608695652174,54.0,7.565217391304348,4.0,0.10825009228497606,-0.6392182692550457,0.22427030128846945,-0.5705459387186974,74,3,80,11,0,0,0,60,38,634,450,209,245
106,1518,398,29,29,1140,856,284,1.563584359697284,4.151921650096454,52.3448275862069,20.0,13.724137931034482,5.0,0.15391151164515654,-0.643428566480096,0.23219734036523224,-0.5740665582666101,9,0,47,4,0,0,0,24,11,251,214,92,127
107,1112,246,16,16,862,615,248,2.7550404984423693,5.6755970924195225,69.5,21.0,15.375,5.0,0.23999807987711216,-0.6416668761376971,0.22216951805931365,-0.5671467894831274,5,2,18,2,0,0,0,22,16,222,160,63,68
108,2595,533,37,38,1978,1441,538,1.3677397071014088,4.581265542967671,70.13513513513513,23.0,14.026315789473685,7.0,0.1304868083059572,-0.6444829431141711,0.22193661956944186,-0.5634316892164687,55,4,54,7,2,0,0,56,18,466,345,126,165
109,1995,1040,64,64,1471,1040,432,1.3622240802675574,4.283162330177805,31.171875,17.0,16.25,11.0,0.1802054559197416,-0.6439162527872112,0.22349664709838915,-0.5639598601707347,50,1,48,3,0,0,0,57,12,384,268,100,124
110,2787,607,37,37,1983,1380,603,2.0190682006410547,4.975674934388849,75.32432432432432,30.0,16.405405405405407,11.0,0.006628208779524571,-0.6403598210222983,0.2240752231469708,-0.5698975548804791,62,0,39,10,0,0,0,64,33,507,402,198,188
111,5159,768,66,66,3901,2808,1094,2.362174566210882,5.13931143706423,78.16666666666667,21.5,11.636363636363637,5.0,0.17764807741278338,-0.6416343630609691,0.22081058811138982,-0.5659746017329322,84,9,100,13,2,2,0,66,45,911,877,325,337
112,5244,632,72,72,4011,2874,1139,2.253576929883245,5.263814689204011,72.83333333333333,24.5,8.777777777777779,4.0,0.09559809980517052,-0.6371258071797423,0.21807439031891918,-0.5657157816791258,113,8,102,16,0,0,0,111,59,989,842,282,320
113,1737,197,27,27,1315,899,416,3.41499894545915,6.758961956852875,64.33333333333333,24.0,7.296296296296297,5.0,0.055433069007835366,-0.6436333206935534,0.22229998709661133,-0.5634453181304133,48,4,39,3,1,0,0,45,13,349,273,123,103
114,3406,514,47,47,2663,1977,686,2.0864087198193495,5.220068322621735,72.46808510638297,25.0,10.936170212765957,7.0,0.21956951361086696,-0.640790005647408,0.2206474851906723,-0.5645941590135899,75,1,69,5,0,0,0,51,27,643,483,182,269
115,1557,347,30,31,1155,892,263,1.2391625334730474,4.423532425195017,51.9,22.0,11.193548387096774,8.0,0.07009376623376623,-0.6396901164182124,0.22362421806847166,-0.5687826266032466,15,0,41,2,0,0,0,33,6,276,224,103,90
116,693,97,17,18,522,356,166,1.982891341449541,4.75402434861759,40.76470588235294,16.0,5.388888888888889,3.5,0.14365770803270805,-0.6410558005266112,0.22915304252649218,-0.5761033550001748,22,0,23,0,0,0,0,9,10,125,111,51,49
1,2637,1236,96,97,1900,1331,570,1.6918354623342111,4.92479624361096,27.46875,20.0,12.742268041237113,6.0,0.15339418528656196,-0.6372172735402145,0.21977727488395934,-0.5676873399585377,50,3,49,7,0,0,0,46,27,484,381,179,173
2,3142,965,66,66,2423,1706,719,2.978575949367089,5.89620253164557,47.60606060606061,32.0,14.621212121212121,6.5,0.188395988183724,-0.6404658848188247,0.22431985853465478,-0.5689764111125687,55,7,64,12,0,0,0,64,40,635,493,196,185
3,2953,781,56,55,2437,1707,736,6.146045474441024,9.417233046797909,52.732142857142854,19.5,14.218181818181819,8.0,0.23868265993265994,-0.63892467979289,0.2226514544343908,-0.5707460068506715,38,5,85,28,0,0,0,46,48,551,581,191,126
4,2989,919,75,76,2308,1764,545,1.9221831912141898,5.14322102632675,39.85333333333333,27.0,12.105263157894736,3.0,0.1978910513057912,-0.644479832629861,0.2275395207117405,-0.5686978077403112,30,0,98,8,0,0,0,71,21,584,411,140,225
5,2621,481,47,48,2056,1489,570,4.033553128669945,7.326459252013135,55.765957446808514,36.0,10.020833333333334,6.0,0.14745202020202014,-0.6370176057344324,0.221534843981609,-0.5713044512129128,49,2,53,14,0,0,0,68,25,549,373,146,192
6,4303,1246,122,121,3121,2274,851,1.2775047095981034,4.183984911013008,35.27049180327869,19.0,10.297520661157025,3.0,0.1729492601965028,-0.6362131096131537,0.2176183615005171,-0.567343742303517,62,4,114,15,1,0,0,96,34,833,546,254,271
7,1248,383,51,55,915,614,301,2.020836296137647,4.610997358463625,24.470588235294116,17.0,6.963636363636364,2.0,0.11779192204934777,-0.6373077297522711,0.22202774583870413,-0.5687739689789266,21,1,27,6,0,0,0,13,15,220,203,81,97
8,2593,315,43,43,1934,1438,506,1.4880197351775326,4.718742796097945,60.30232558139535,34.0,7.325581395348837,4.0,0.1365184832314462,-0.632771938155898,0.22210120762709135,-0.5742717998727236,30,1,73,2,0,0,0,64,15,503,338,151,168
10,3182,671,55,55,2363,1660,706,1.4362330303658535,4.228100252048576,57.85454545454545,23.0,12.2,10.0,0.13347865143657225,-0.633029395175111,0.219921029874549,-0.5719969357494283,76,10,57,11,0,0,0,46,32,575,469,182,191
11,1943,260,49,49,1474,1039,436,2.137592525128463,5.174788615601331,39.6530612244898,33.0,5.3061224489795915,2.0,0.12055847338935577,-0.6350894297950159,0.2211292842100742,-0.5720391394230749,28,10,45,1,0,0,0,20,17,334,326,136,112
12,2706,749,68,69,2046,1437,611,1.9765766928442012,4.9814761930913285,39.794117647058826,15.0,10.855072463768115,5.0,0.16054935961715616,-0.6390617578685875,0.22524264931947496,-0.5710081546490597,73,5,61,16,0,1,0,39,20,504,391,188,158
13,3596,660,74,74,2665,1954,712,1.1432033888221245,4.073097972021593,48.5945945945946,31.0,8.91891891891892,2.0,0.14488490133551854,-0.641802562103457,0.22187975029407594,-0.5676142039294076,68,5,75,11,0,0,0,71,28,674,471,212,286
14,1889,603,74,73,1237,879,358,0.19464794771319838,3.1769705420691765,25.527027027027028,14.5,8.26027397260274,5.0,0.13191267687536348,-0.635624759025143,0.22267355345767148,-0.5725669712069889,41,1,42,7,1,0,0,50,12,327,259,98,117
15,1706,360,29,30,1335,979,356,3.230092645219962,6.140782842635748,58.827586206896555,23.0,12.0,7.5,0.2096023629148629,-0.6418600592353957,0.22504235480367962,-0.5687041484673129,21,4,36,14,0,0,0,17,14,317,320,73,93
16,794,170,23,22,613,461,152,2.212312426909584,5.247237438706634,34.52173913043478,15.0,7.7272727272727275,6.0,0.2055090311986864,-0.6403099670057736,0.21799612464916918,-0.5633805516069137,16,0,17,5,0,0,0,18,3,156,113,51,44
